capture_id,doc_id,split,is_control,decoder,scored_vs,framing,messaging,cleanup,phone,angle_deg,lighting,c,n_found,n_expected,offset,line_acc,word_acc,ser,n_obs,k_eff,fpr_accuse,soft_eps1_b0.5,soft_tier_b0.5,flip_eps1_b0.5,flip_tier_b0.5,soft_eps1_b0.9,soft_tier_b0.9,flip_eps1_b0.9,flip_tier_b0.9
dry_control_laser_mono_600_plain_80gsm_flagship_a0_office_full,dry_control,report,True,c1,dry_marked,full,none,none,flagship,0,office,5,45,45,0,0.308,0.667,0.5454545454545454,22,10.258,False,1.0,no guarantee,1.0,no guarantee,1.0,no guarantee,1.0,no guarantee
dry_control_laser_mono_600_plain_80gsm_flagship_a0_office_full,dry_control,report,True,fused,dry_marked,full,none,none,flagship,0,office,5,45,45,0,0.308,0.667,0.5454545454545454,22,10.258,False,1.0,no guarantee,1.0,no guarantee,1.0,no guarantee,1.0,no guarantee
dry_marked_laser_mono_600_plain_80gsm_flagship_a0_office_full,dry_marked,report,False,c1,dry_marked,full,none,none,flagship,0,office,5,45,45,0,0.933,,0.06666666666666667,15,8.107,,1.0,no guarantee,1.0,no guarantee,1.0,no guarantee,1.0,no guarantee
dry_marked_laser_mono_600_plain_80gsm_flagship_a0_office_full,dry_marked,report,False,c2,dry_marked,full,none,none,flagship,0,office,5,,,,,,,,STUB,,,,,,,,,
dry_marked_laser_mono_600_plain_80gsm_flagship_a0_office_full,dry_marked,report,False,fused,dry_marked,full,none,none,flagship,0,office,5,45,45,0,0.933,,0.06666666666666667,15,8.107,,1.0,no guarantee,1.0,no guarantee,1.0,no guarantee,1.0,no guarantee
dry_control_laser_mono_600_plain_80gsm_flagship_a0_office_full,dry_control,report,True,c1,dry_marked,full,none,none,flagship,0,office,5,45,45,0,0.462,0.0,0.7272727272727273,22,9.107,False,1.0,no guarantee,1.0,no guarantee,1.0,no guarantee,1.0,no guarantee
dry_control_laser_mono_600_plain_80gsm_flagship_a0_office_full,dry_control,report,True,fused,dry_marked,full,none,none,flagship,0,office,5,45,45,0,0.462,0.0,0.7272727272727273,22,9.107,False,1.0,no guarantee,1.0,no guarantee,1.0,no guarantee,1.0,no guarantee
dry_control_laser_mono_600_plain_80gsm_flagship_a0_office_full,dry_control,report,True,c1,dry_marked,full,tg,none,flagship,0,office,5,45,45,0,0.4,0.556,0.5416666666666666,24,11.226,False,1.0,no guarantee,1.0,no guarantee,1.0,no guarantee,1.0,no guarantee
dry_control_laser_mono_600_plain_80gsm_flagship_a0_office_full,dry_control,report,True,fused,dry_marked,full,tg,none,flagship,0,office,5,45,45,0,0.4,0.556,0.5416666666666666,24,11.226,False,1.0,no guarantee,1.0,no guarantee,1.0,no guarantee,1.0,no guarantee
dry_control_laser_mono_600_plain_80gsm_flagship_a0_office_full,dry_control,report,True,c1,dry_marked,full,wa,none,flagship,0,office,5,45,45,0,0.357,0.556,0.5652173913043478,23,10.623,False,1.0,no guarantee,1.0,no guarantee,1.0,no guarantee,1.0,no guarantee
dry_control_laser_mono_600_plain_80gsm_flagship_a0_office_full,dry_control,report,True,fused,dry_marked,full,wa,none,flagship,0,office,5,45,45,0,0.357,0.556,0.5652173913043478,23,10.623,False,1.0,no guarantee,1.0,no guarantee,1.0,no guarantee,1.0,no guarantee
dry_control_laser_mono_600_plain_80gsm_flagship_a0_office_full,dry_control,report,True,c1,dry_marked,full,wa_then_tg,none,flagship,0,office,5,45,45,0,0.214,0.111,0.8260869565217391,23,10.576,False,1.0,no guarantee,1.0,no guarantee,1.0,no guarantee,1.0,no guarantee
dry_control_laser_mono_600_plain_80gsm_flagship_a0_office_full,dry_control,report,True,fused,dry_marked,full,wa_then_tg,none,flagship,0,office,5,45,45,0,0.214,0.111,0.8260869565217391,23,10.576,False,1.0,no guarantee,1.0,no guarantee,1.0,no guarantee,1.0,no guarantee
dry_control_laser_mono_600_plain_80gsm_flagship_a0_office_full,dry_control,report,True,c1,dry_marked,full,wa_x2,none,flagship,0,office,5,45,45,0,0.533,,0.4666666666666667,15,6.876,False,1.0,no guarantee,1.0,no guarantee,1.0,no guarantee,1.0,no guarantee
dry_control_laser_mono_600_plain_80gsm_flagship_a0_office_full,dry_control,report,True,fused,dry_marked,full,wa_x2,none,flagship,0,office,5,45,45,0,0.533,,0.4666666666666667,15,6.876,False,1.0,no guarantee,1.0,no guarantee,1.0,no guarantee,1.0,no guarantee
dry_marked_laser_mono_600_plain_80gsm_flagship_a0_office_full,dry_marked,report,False,c1,dry_marked,full,none,none,flagship,0,office,5,45,45,0,0.933,,0.06666666666666667,15,8.825,,1.0,no guarantee,1.0,no guarantee,1.0,no guarantee,1.0,no guarantee
dry_marked_laser_mono_600_plain_80gsm_flagship_a0_office_full,dry_marked,report,False,c2,dry_marked,full,none,none,flagship,0,office,5,,,,,,,,STUB,,,,,,,,,
dry_marked_laser_mono_600_plain_80gsm_flagship_a0_office_full,dry_marked,report,False,fused,dry_marked,full,none,none,flagship,0,office,5,45,45,0,0.933,,0.06666666666666667,15,8.825,,1.0,no guarantee,1.0,no guarantee,1.0,no guarantee,1.0,no guarantee
dry_marked_laser_mono_600_plain_80gsm_flagship_a0_office_full,dry_marked,report,False,c1,dry_marked,full,tg,none,flagship,0,office,5,45,45,0,0.867,,0.13333333333333333,15,7.56,,1.0,no guarantee,1.0,no guarantee,1.0,no guarantee,1.0,no guarantee
dry_marked_laser_mono_600_plain_80gsm_flagship_a0_office_full,dry_marked,report,False,c2,dry_marked,full,tg,none,flagship,0,office,5,,,,,,,,STUB,,,,,,,,,
dry_marked_laser_mono_600_plain_80gsm_flagship_a0_office_full,dry_marked,report,False,fused,dry_marked,full,tg,none,flagship,0,office,5,45,45,0,0.867,,0.13333333333333333,15,7.56,,1.0,no guarantee,1.0,no guarantee,1.0,no guarantee,1.0,no guarantee
dry_marked_laser_mono_600_plain_80gsm_flagship_a0_office_full,dry_marked,report,False,c1,dry_marked,full,wa,none,flagship,0,office,5,45,45,0,0.867,,0.13333333333333333,15,7.563,,1.0,no guarantee,1.0,no guarantee,1.0,no guarantee,1.0,no guarantee
dry_marked_laser_mono_600_plain_80gsm_flagship_a0_office_full,dry_marked,report,False,c2,dry_marked,full,wa,none,flagship,0,office,5,,,,,,,,STUB,,,,,,,,,
dry_marked_laser_mono_600_plain_80gsm_flagship_a0_office_full,dry_marked,report,False,fused,dry_marked,full,wa,none,flagship,0,office,5,45,45,0,0.867,,0.13333333333333333,15,7.563,,1.0,no guarantee,1.0,no guarantee,1.0,no guarantee,1.0,no guarantee
dry_marked_laser_mono_600_plain_80gsm_flagship_a0_office_full,dry_marked,report,False,c1,dry_marked,full,wa_then_tg,none,flagship,0,office,5,45,45,0,0.867,,0.13333333333333333,15,7.576,,1.0,no guarantee,1.0,no guarantee,1.0,no guarantee,1.0,no guarantee
dry_marked_laser_mono_600_plain_80gsm_flagship_a0_office_full,dry_marked,report,False,c2,dry_marked,full,wa_then_tg,none,flagship,0,office,5,,,,,,,,STUB,,,,,,,,,
dry_marked_laser_mono_600_plain_80gsm_flagship_a0_office_full,dry_marked,report,False,fused,dry_marked,full,wa_then_tg,none,flagship,0,office,5,45,45,0,0.867,,0.13333333333333333,15,7.576,,1.0,no guarantee,1.0,no guarantee,1.0,no guarantee,1.0,no guarantee
dry_marked_laser_mono_600_plain_80gsm_flagship_a0_office_full,dry_marked,report,False,c1,dry_marked,full,wa_x2,none,flagship,0,office,5,45,45,0,0.867,,0.13333333333333333,15,7.243,,1.0,no guarantee,1.0,no guarantee,1.0,no guarantee,1.0,no guarantee
dry_marked_laser_mono_600_plain_80gsm_flagship_a0_office_full,dry_marked,report,False,c2,dry_marked,full,wa_x2,none,flagship,0,office,5,,,,,,,,STUB,,,,,,,,,
dry_marked_laser_mono_600_plain_80gsm_flagship_a0_office_full,dry_marked,report,False,fused,dry_marked,full,wa_x2,none,flagship,0,office,5,45,45,0,0.867,,0.13333333333333333,15,7.243,,1.0,no guarantee,1.0,no guarantee,1.0,no guarantee,1.0,no guarantee
